Date,Yak,emotion
2023-11-19,"im in the stay up too late, nap midday, stay up too late bc im not tired cycle and its ruthless", Disapproval 
2023-11-20,The wind is brutal today, Disappointment
2023-11-21,"no matter how tough these next two weeks are, at least you arent hokie", relief
2023-11-22,"this school has done such a piss poor job with the academic transition here as a transfer student, they really have some balls having the audacity to ask for donations", Disapproval
2023-11-23,Coffee and period shits lord forgive me what Im about to do to this bathroom, Disgust
2023-11-24,the overwhelming urge to just start screaming in the middle of class, Embarrassment
2023-11-20,I hate teachers that dont update grades. I had a 95 in a class so I felt safe to skip class and an assignment when I was having a bad day. Now my grades an 88 because she finally put in grades and thats before the assignment I didnt do -_-, Disappointment
2023-11-20,"I was FaceTiming my mom last night, Im graduating college in May and she told me Im so proud of you, I knew you could do it 
That is all I have ever wanted to hear from her.", Pride. 
2023-11-21,"4 hours of sleep, 2 cigarettes, no food, blasting nirvana: its finals time", Disapproval
2023-11-22,i wish i could just love/like/dislike emails instead of replying to them, Disapproval
2023-11-23,Is social psych a waste of tuition dollars if I took ap psych in hs, disappointment
2023-11-20,Why would my guy friend suddenly fully stop talking to me once he got a gf, sadness
2023-11-21,"Professor Emery is retiring!:,(", sadness
2023-11-22,im lingering, sadness
2023-11-23,I'm so glad Lessons of the Yawn only has two classes left., relief
2023-11-24,Should comm application activities description be basically resume bullets, disapproval
2023-11-25,thinking about how my back hurts daily from when i leaned forward too fast on the toilet 6 months ago. like. ????, Disappointment. 
2023-11-26,I slept two hours last night I love insomnia!, Admiration
2023-11-27,My roommate being in the bathroom for an hour in the morning is my 13th reason, annoyance 
2023-11-19,"Look duo, once you do your thing, I need you to close yourself and let me get back to what I was doing.", relief 
2023-11-20,Why would a guy start talking about smoking and drinking and girls to his friends when he knows a girl hes into might be listening, Embarrassment
2023-11-21,why are they gating off the amphitheater, confusion
2023-11-22,"Does anyone know of a church service or Bible study I can go to during the week, in addition to Sunday?", curiosity
2023-11-23,Is it too late now to say sorry?, sadness 
2023-11-24,Whens the last day of school, Relief
2023-11-25,Spiraling into insanity from studying and opening Instagram just to take a break but then seeing that fucking josh hutcherson edit, disappointment
2023-11-26,im gonna die alone, sadness
2023-11-27,being an english major is reading one chapter of a classic for class and then switching to one chapter of your silly little cartoon cover romance book then back to ur classic over and over, confusion 
2023-11-19,Out of the fire and into the fire again, relief
2023-11-25,"I miss the old yikyak, we used to be more toxic, more fun, less accepting. This app is too tame now", Disappointment. 
2023-11-21,"""You'll make friends in college."" Biggest lie of the century.", annoyance 
2023-11-22,did we just fucking lose to the SHARKS, disappointment
2023-11-23,Double texting yes or no, embarrassment
2023-11-24,Wtf is w all these ppl saying they cant make friends on here, confusion
2023-11-25,whoever stole my package again from corner village ur fucked up pls give it back cunt, anger
2023-11-26,"Is it weird that I feel like I dont connect w people of my own race? I feel like my conversations always flow worse, or I just dont have the same interests as the people I talk to, but its the complete opposite with outside my race", Disapproval 
2023-11-27,"Trynna study in Clem and these two people sound like theyre mourning someones death, I get youre sad but can you go do your group prayer somewhere else I really need to pass this class!", Annoyance
2023-11-19,"my christmas list:
- a fucking break
- a will to life
- a second to breath
- a fuck to give 
- iced coffee", exhaustion
2023-11-20,"You think this is bad? This, this chicanery? Hes done worse! That billboard, are you telling me that a man just happens to fall like that? No, he orchestrated it, Jimmy! He defecated through a sunroof! And I saved him!", Disgust
2023-11-21,Normalize not telling people youre trying for a baby, Disapproval
2023-11-22,guys i cannot emphasize this enough PLEASE chew with your mouth closed, Disapproval
2023-11-23,I really hope Kevin Welch is getting good head at home, Embarrassment
2023-11-24,For the CS majors: how do you guys find internships to apply to?, confusion
2023-11-25,I cant even go out because I get so sad seeing others in groups having fun. I went to dinner  tonight and just wanted to walk out and cry because everyone around me was in a big group having a good time eating dinner with their friends. Im so alone here, Disappointment
2023-11-26,When someone tells me to go to hell but Im taking EMF, Disapproval
2023-11-27,roll grit not starbucks, Disapproval
2023-11-19,"Yik Yak is going to be an absolute war zone for the next two weeks. Cheers, uva.", fear
2023-11-20,i keep seeing references to the vt(vermont) shooting that happened and immediately think tech and get worried, Worry
2023-11-21,"You ever stay up late and get into espresso depresso hours? I have to listen to people talk at me (ie YouTube, podcasts, etc) to keep the thoughts away at this time of night", Disappointment
2023-11-22,I bought from the dark net haha so I can cross that off my bucket list, amusement 
2023-11-23,No bc uva taking away the biggest library on grounds for 4 years was the nail on the coffin for class of 2024, Disappointment
2023-11-24,I feel like Im drowning and it doesnt matter if I go to caps because they cant keep my head above water and they dont even care, Despair
2023-11-25,"As a member of the class of 2023, I mourn the fact that I may not see Alderman again. 

My last memory of it was taking a mondo diarrhea deuce in the 2nd floor bathroom after eating bad Newcomb sushi and causing a girl to run out of the bathroom crying", Sadness
2023-11-26,how to get over crush help, Relief. 
2023-11-27,How do I tell my professor Im sorry for missing classes because Ive been severely depressed?, remorse
2023-11-19,if you got approved for the time you selected in an exam reschedule then do u just take that like a take home exam? or will a room be assigned later?, confusion 
2023-11-20,tis the season of not eating a single meal during the day because there physically isnt time, Disappointment
2023-11-21,do anyone else know that spot on grounds that smells like actual dogshit, Embarrassment
2023-11-22,if i have no finals for a week after class ends is it normal to go home, relief
2023-11-23,Strong girl Nam-soon shouted out uva in episode 15 lol, laughter 
2023-11-24,condolences for everyone post-orgo exam rn mine were on thursday evenings and i did unspeakable things after each and every one, Relief
2023-11-25,my dear mother insists on buying me kind bars when im at school even after i tell her i dont like them. i feel bad but theyre so damn crunchy!, Embarrassment
2023-11-26,Yall ever wonder how many pictures youre in and dont even know?, Curiosity. 
2023-11-27,"Roses are red
Violets are blue
Im in e-school
(Im better than you)

-an e-schooler", Disapproval
2023-11-19,im an MLA girl forced to live in an APA world, Disapproval
2023-11-20,Does anyone else here like actually not cheat?, approval
2023-11-21,has anyone taken intro to wgs with hagerman..if so what is the cutoff for an A, Disappointment
2023-11-22,Me wondering why I feel so depressed when I havent consistently taken my lexapro in months, Disappointment
2023-11-23,AITA for telling my morbidly obese friend its time to put down the fork?, Disapproval
2023-11-24,my best friend has changed so much since going to her university in nyc. im intimidated by the fact things are different now and i dont know how to deal with it, Intimidation and confusion. 
2023-12-5,My card declined on a blue book. Its not looking good, Disappointment
2023-11-26,Do you ever just feel kinda depressed?, sadness 
2023-11-27,Average on test was 69 and its not curved, Disappointment. 
2023-11-20,The wind really exposing my hairline today," Exposure tends to have a connotation of embarrassing circumstances, so the word ""embarrassment"" would best fit the bill here. "
2023-11-20,"can someone take a pic of the moon for me, my mom asked but im inside now", sadness
2023-11-21,Shes older than me and called me good boy and idk whether shes flirting or just said that for no reason, Confusion
2023-11-22,Professor shobe is a d1 yapper, Disapproval
2023-11-23,"Is my roommate into me? He has been sitting closer to me on the couch recently while watching TV and has also been suggesting we shower together to save water, and has joked a lot about giving me head since my gf broke up with me earlier this month", Embarrassment
2023-11-24,"ive got the trifecta of school stress, job stress and relationship stress hitting rn", disappointment
2023-11-25,Cant tell if the end of the semester is a marathon or a sprint. I feel like Im sprinting for 26.2 miles., exhaustion
2023-11-26,feels like there are more hot people in my paths of travel today than normal," admiration 
Since this is a neutral statement, it would be best to use a neutral word, so admiration is the closest to this meaning. "
2023-11-27,"everyone comment something positive here, need some love to go around with everyone struggling", Joy
2023-11-25,Easiest science classes at uva?, Amusement 
2023-11-20,I vastly underestimated what version of 50 it would be today, Disappointment. 
2023-11-21,Hey can I get a to-go box and  uh you know throw some poop in there, Disgust
2023-11-22,I need someone to have a baby right now I want someone to have a college baby I would be such a good godmother !, Desire. 
2023-11-23,When u realize hes literally just a guy, Disappointment
2023-11-24,BDE today lets exude positivity for the second half everybody, Encouragement. 
2023-11-25,What is in roots that makes me violently shit after eating it every time, Disgust
2023-11-26,guys whats your go to drinkity when studying? i need new recs to keep living., Curiosity 
